id,name,label,address,add_time,cc_email,owner_id,company_id,first_char,owner_name,picture_id,visible_to,active_flag,category_id,delete_time,files_count,notes_count,update_time,country_code,people_count,address_route,address_country,followers_count,won_deals_count,activities_count,address_locality,last_activity_id,lost_deals_count,next_activity_id,open_deals_count,address_subpremise,closed_deals_count,last_activity_date,next_activity_date,next_activity_time,address_postal_code,address_sublocality,email_messages_count,address_street_number,done_activities_count,related_won_deals_count,undone_activities_count,related_lost_deals_count,related_open_deals_count,address_formatted_address,address_admin_area_level_1,address_admin_area_level_2,related_closed_deals_count
464,Bonavista Energy Corporation,23193.0,"700, 311-6th Avenue SW  Calgary, AB  Canada",2016-05-19 17:18:18,ncsmultistagecanada@pipedrivemail.com,"{""id"": 1860952, ""name"": ""API Admin (Do Not Delete)"", ""email"": ""bi@ncsmultistage.com"", ""has_pic"": 0, ""pic_hash"": null, ""active_flag"": true, ""value"": 1860952}",7791319,b,API Admin (Do Not Delete),,3,True,,,7,10,2023-12-08 09:23:20,,11,8 Avenue Southwest,Canada,3,9,54,Calgary,29398.0,57,33652.0,31,,87,2020-06-18,2022-10-03,19:30:00,T2P 1G1,,371,525,53,0,1,0,0,"525 8 Ave SW, Calgary, AB T2P 1G1, Canada",Alberta,Division No. 6,0
468,Boulder Energy LTD,,"2200, 520 - 3rd Ave SW  Calgary, AB T2P 0R3 ",2016-05-19 17:18:19,ncsmultistagecanada@pipedrivemail.com,"{""id"": 1860952, ""name"": ""API Admin (Do Not Delete)"", ""email"": ""bi@ncsmultistage.com"", ""has_pic"": 0, ""pic_hash"": null, ""active_flag"": true, ""value"": 1860952}",7791319,b,API Admin (Do Not Delete),,3,True,,,0,1,2021-02-12 20:48:41,,1,3 Avenue Southwest,Canada,2,0,7,Calgary,27923.0,2,28503.0,1,,4,2020-05-22,2020-08-17,,T2P 0R6,,0,520,6,0,1,0,0,"520 3 Ave SW, Calgary, AB T2P 0R6, Canada",Alberta,Division No. 6,0
469,"Bruin Oil & Gas, Inc.",,"1600, 703 - 6th Ave SW  Calgary, AB T2P 2Z1 ",2016-05-19 17:18:19,ncsmultistagecanada@pipedrivemail.com,"{""id"": 1860952, ""name"": ""API Admin (Do Not Delete)"", ""email"": ""bi@ncsmultistage.com"", ""has_pic"": 0, ""pic_hash"": null, ""active_flag"": true, ""value"": 1860952}",7791319,b,API Admin (Do Not Delete),,3,True,,,4,2,2021-02-12 20:42:57,,2,6 Avenue Southwest,Canada,2,0,5,Calgary,5676.0,2,,0,600,4,2017-04-11,,,T2P 0T9,,1,703,5,0,0,0,0,"703 6 Ave SW, Calgary, AB T2P 0T9, Canada",Alberta,Division No. 6,0
470,CBW Resource Consultants,,"Suite 700,435-4th Ave S.W.  Calgary, AB  ",2016-05-19 17:18:19,ncsmultistagecanada@pipedrivemail.com,"{""id"": 1860952, ""name"": ""API Admin (Do Not Delete)"", ""email"": ""bi@ncsmultistage.com"", ""has_pic"": 0, ""pic_hash"": null, ""active_flag"": true, ""value"": 1860952}",7791319,c,API Admin (Do Not Delete),,3,True,,,4,2,2023-11-29 18:15:46,,4,4 Avenue Southwest,Canada,1,10,28,Calgary,21408.0,0,10212.0,0,700,20,2019-08-02,2018-02-06,,T2P 0J4,,15,435,26,0,2,0,0,"435 4 Ave SW #700, Calgary, AB T2P 0J4, Canada",Alberta,Division No. 6,0
477,Canadian Spirit Resources,,"Suite 1520, 777 8th Ave SW  Calgary, AB T3K 0T4 ",2016-05-19 17:18:19,ncsmultistagecanada@pipedrivemail.com,"{""id"": 1860952, ""name"": ""API Admin (Do Not Delete)"", ""email"": ""bi@ncsmultistage.com"", ""has_pic"": 0, ""pic_hash"": null, ""active_flag"": true, ""value"": 1860952}",7791319,c,API Admin (Do Not Delete),,3,True,,,0,0,2021-02-12 20:31:55,,1,,Canada,0,0,1,Calgary,1572.0,0,,0,,0,2016-08-25,,,T3K 0T4,,0,,1,0,0,0,0,"Calgary, AB T3K 0T4, Canada",Alberta,Division No. 6,0
482,Cardinal Energy,,c/o Westrock Energy Consultants,2016-05-19 17:18:20,ncsmultistagecanada@pipedrivemail.com,"{""id"": 1860952, ""name"": ""API Admin (Do Not Delete)"", ""email"": ""bi@ncsmultistage.com"", ""has_pic"": 0, ""pic_hash"": null, ""active_flag"": true, ""value"": 1860952}",7791319,c,API Admin (Do Not Delete),,3,True,,,7,8,2022-12-12 18:18:22,,10,4 Avenue Southeast,Canada,3,7,77,Calgary,30016.0,11,4042.0,8,700,27,2020-08-05,2017-01-31,,T2G 4Z6,,0,138,72,0,5,0,0,"138 4 Ave SE #700, Calgary, AB T2G 4Z6, Canada",Alberta,Division No. 6,0
484,"Canbriam Energy, Inc.",,"Calgary City Centre 2100, 215 2nd Street S.W. Calgary Alb. T2P 1M4",2016-05-19 17:18:20,ncsmultistagecanada@pipedrivemail.com,"{""id"": 1860952, ""name"": ""API Admin (Do Not Delete)"", ""email"": ""bi@ncsmultistage.com"", ""has_pic"": 0, ""pic_hash"": null, ""active_flag"": true, ""value"": 1860952}",7791319,c,API Admin (Do Not Delete),,3,True,,,11,17,2023-12-08 09:23:33,,14,1 Street Southwest,Canada,2,45,224,Calgary,21406.0,7,,2,3500,99,2019-07-29,,,T2P 3L8,,260,450,224,0,0,0,0,"Calgary, AB, Canada",Alberta,Division No. 6,0
486,Capio Exploration,,"1100, 717-7 Ave SW  Calgary, AB T2P-0Z3 ",2016-05-19 17:18:20,ncsmultistagecanada@pipedrivemail.com,"{""id"": 1860952, ""name"": ""API Admin (Do Not Delete)"", ""email"": ""bi@ncsmultistage.com"", ""has_pic"": 0, ""pic_hash"": null, ""active_flag"": true, ""value"": 1860952}",7791319,c,API Admin (Do Not Delete),,3,True,,,2,0,2021-02-12 20:46:23,,3,7 Avenue Southwest,Canada,2,3,33,Calgary,9532.0,0,,0,,6,2018-04-16,,,T2P 3H6,,0,717,33,0,0,0,0,"717 7 Ave SW, Calgary, AB T2P 3H6, Canada",Alberta,Division No. 6,0
488,Torxen Oil & Gas,23248.0,"2700, 240 – 4th Ave SW Calgary AB, Canada T2P 4H4",2016-05-19 17:18:20,ncsmultistagecanada@pipedrivemail.com,"{""id"": 1860952, ""name"": ""API Admin (Do Not Delete)"", ""email"": ""bi@ncsmultistage.com"", ""has_pic"": 0, ""pic_hash"": null, ""active_flag"": true, ""value"": 1860952}",7791319,t,API Admin (Do Not Delete),,3,True,,,8,4,2023-12-08 09:21:45,,9,4 Avenue Southwest,Canada,4,5,112,Calgary,30221.0,32,30415.0,26,2700,47,2020-08-05,2020-08-19,,T2P 4H4,,20,240,111,0,1,0,0,"240 4 Ave SW, Calgary, AB T2P 4H4, Canada",Alberta,Division No. 6,0
490,Cequence Energy LTD,,"3100, 525 - 8th Ave SW  Calgary, AB T2P 1G1 ",2016-05-19 17:18:20,ncsmultistagecanada@pipedrivemail.com,"{""id"": 1860952, ""name"": ""API Admin (Do Not Delete)"", ""email"": ""bi@ncsmultistage.com"", ""has_pic"": 0, ""pic_hash"": null, ""active_flag"": true, ""value"": 1860952}",7791319,c,API Admin (Do Not Delete),,3,True,,,13,8,2023-11-29 18:14:37,,2,8 Avenue Southwest,Canada,2,10,51,Calgary,20478.0,1,,1,,22,2019-06-10,,,T2P 1G2,,4,525,51,0,0,0,0,"525 8 Ave SW, Calgary, AB T2P 1G2, Canada",Alberta,Division No. 6,0
499,Corex Resources Ltd,23247.0,"700 2nd Street Southwest, Southwest Calgary, Calgary, AB T2P 2W2, Canada",2016-05-19 17:18:21,ncsmultistagecanada@pipedrivemail.com,"{""id"": 1860952, ""name"": ""API Admin (Do Not Delete)"", ""email"": ""bi@ncsmultistage.com"", ""has_pic"": 0, ""pic_hash"": null, ""active_flag"": true, ""value"": 1860952}",7791319,c,API Admin (Do Not Delete),,3,True,,,6,7,2023-12-08 09:19:40,,6,2 Street Southwest,Canada,2,5,22,Calgary,28543.0,13,30658.0,32,,22,2020-07-27,2020-09-03,,T2P 2W3,,95,700,20,0,2,0,0,"700 2 St SW, Calgary, AB T2P 2W3, Canada",Alberta,Division No. 6,0
500,Corval Energy Ltd.,,"Suite 2400 500-4th Avenue S.W.  Calgary, AB T2P 2V6 ",2016-05-19 17:18:21,ncsmultistagecanada@pipedrivemail.com,"{""id"": 1860952, ""name"": ""API Admin (Do Not Delete)"", ""email"": ""bi@ncsmultistage.com"", ""has_pic"": 0, ""pic_hash"": null, ""active_flag"": true, ""value"": 1860952}",7791319,c,API Admin (Do Not Delete),,3,True,,,14,7,2023-12-08 09:20:31,,3,12 Avenue Southwest,Canada,4,11,78,Calgary,29682.0,4,28424.0,1,1110,30,2020-08-05,2020-05-27,20:00:00,T2R 1L5,,13,340,76,0,2,0,0,"Central Park Plaza, 340 12 Ave SW #1110, Calgary, AB T2R 1L5, Canada",Alberta,Division No. 6,0
502,Corinthian Oil Corp,,"230 323 - 10th Ave SW  Calgary, AB T2R 0A5 ",2016-05-19 17:18:21,ncsmultistagecanada@pipedrivemail.com,"{""id"": 1860952, ""name"": ""API Admin (Do Not Delete)"", ""email"": ""bi@ncsmultistage.com"", ""has_pic"": 0, ""pic_hash"": null, ""active_flag"": true, ""value"": 1860952}",7791319,c,API Admin (Do Not Delete),,3,True,,,0,0,2021-02-12 20:31:55,,1,10 Avenue Southwest,Canada,1,0,4,Calgary,6100.0,0,,0,,0,2017-05-04,,,T2R 0A5,,0,323,4,0,0,0,0,"323 10 Ave SW, Calgary, AB T2R 0A5, Canada",Alberta,Division No. 6,0
504,Crest Consulting,,"1200, 707-7 Ave SW  Calgary, AB T2P-3H6 CANADA",2016-05-19 17:18:22,ncsmultistagecanada@pipedrivemail.com,"{""id"": 1860952, ""name"": ""API Admin (Do Not Delete)"", ""email"": ""bi@ncsmultistage.com"", ""has_pic"": 0, ""pic_hash"": null, ""active_flag"": true, ""value"": 1860952}",7791319,c,API Admin (Do Not Delete),,3,True,,,13,4,2022-08-05 22:28:02,,4,7 Avenue Southwest,Canada,2,15,75,Calgary,17017.0,3,,1,,36,2018-11-15,,,T2P 0Z3,,27,707,75,0,0,0,0,"707 7 Ave SW, Calgary, AB T2P 0Z3, Canada",Alberta,Division No. 6,0
507,Devon Canada Corporation,,"2000, 400 - 3rd Avenue SW  Calgary, AB T2P 4H2 ",2016-05-19 17:18:22,ncsmultistagecanada@pipedrivemail.com,"{""id"": 1860952, ""name"": ""API Admin (Do Not Delete)"", ""email"": ""bi@ncsmultistage.com"", ""has_pic"": 0, ""pic_hash"": null, ""active_flag"": true, ""value"": 1860952}",7791319,d,API Admin (Do Not Delete),,3,True,,,1,2,2021-10-04 18:37:43,,3,3 Avenue Southwest,Canada,3,6,47,Calgary,18537.0,1,,0,,14,2019-02-28,,,T2P 4H2,,1,400,47,0,0,0,0,"Devon Tower, 400 3 Ave SW, Calgary, AB T2P 4H2, Canada",Alberta,Division No. 6,0
519,Ovintiv,,"500 Centre ST  SE PO Box 2850 Calgary, AB T2P 2S5 ",2016-05-19 17:18:23,ncsmultistagecanada@pipedrivemail.com,"{""id"": 1860952, ""name"": ""API Admin (Do Not Delete)"", ""email"": ""bi@ncsmultistage.com"", ""has_pic"": 0, ""pic_hash"": null, ""active_flag"": true, ""value"": 1860952}",7791319,o,API Admin (Do Not Delete),,3,True,,,14,27,2023-12-08 09:21:45,,31,Centre Street South,Canada,10,19,108,Calgary,28640.0,18,30220.0,13,,52,2020-08-18,2020-08-05,17:30:00,T2P 1A6,,253,500,107,0,1,0,0,"Centre St S, Calgary, AB T2P, Canada",Alberta,Division No. 6,0
520,Element Technical Services,,"1000, 510 - 5th ST SW  Calgary, AB T2P 3S2 ",2016-05-19 17:18:23,ncsmultistagecanada@pipedrivemail.com,"{""id"": 1860952, ""name"": ""API Admin (Do Not Delete)"", ""email"": ""bi@ncsmultistage.com"", ""has_pic"": 0, ""pic_hash"": null, ""active_flag"": true, ""value"": 1860952}",7791319,e,API Admin (Do Not Delete),,3,True,,,0,0,2021-02-12 20:31:55,,4,5 Street Southwest,Canada,1,0,0,Calgary,,0,,0,,0,,,,T2P 3S2,,1,510,0,0,0,0,0,"510 5 St SW, Calgary, AB T2P 3S2, Canada",Alberta,Division No. 6,0
522,Enerplus Resources Corp,,"#3000, 333 - 7th Avenue S.W.  Calgary, AB T2P 1E3 Canada",2016-05-19 17:18:23,ncsmultistagecanada@pipedrivemail.com,"{""id"": 1860952, ""name"": ""API Admin (Do Not Delete)"", ""email"": ""bi@ncsmultistage.com"", ""has_pic"": 0, ""pic_hash"": null, ""active_flag"": true, ""value"": 1860952}",7791319,e,API Admin (Do Not Delete),,3,True,,,0,0,2021-02-12 20:31:55,,2,7 Avenue Southwest,Canada,0,0,3,Calgary,19357.0,0,,0,3000,0,2019-04-26,,,T2P 2Z1,,0,333,3,0,0,0,0,"333 7 Ave SW #3000, Calgary, AB T2P 2Z1, Canada",Alberta,Division No. 6,0
524,Endurance Energy Ltd,,"800 - 215 - 9th Ave SW  Calgary, AB T2P 1K3 ",2016-05-19 17:18:23,ncsmultistagecanada@pipedrivemail.com,"{""id"": 1860952, ""name"": ""API Admin (Do Not Delete)"", ""email"": ""bi@ncsmultistage.com"", ""has_pic"": 0, ""pic_hash"": null, ""active_flag"": true, ""value"": 1860952}",7791319,e,API Admin (Do Not Delete),,3,True,,,0,0,2021-02-12 20:31:55,,7,9 Avenue Southwest,Canada,1,0,3,Calgary,1176.0,0,,0,800,0,2016-08-09,,,T2P 1K3,,1,215,3,0,0,0,0,"215 9 Ave SW, Calgary, AB T2P 1K3, Canada",Alberta,Division No. 6,0
528,Essential Energy Services,,"1100   250 2nd Street SW  Calgary, AB T2P 0C1 ",2016-05-19 17:18:23,ncsmultistagecanada@pipedrivemail.com,"{""id"": 1860952, ""name"": ""API Admin (Do Not Delete)"", ""email"": ""bi@ncsmultistage.com"", ""has_pic"": 0, ""pic_hash"": null, ""active_flag"": true, ""value"": 1860952}",7791319,e,API Admin (Do Not Delete),,3,True,,,0,0,2021-02-12 20:31:55,,1,2 Street Southwest,Canada,2,0,1,Calgary,2896.0,0,,0,,0,2016-11-01,,,T2P 0C1,,0,250,1,0,0,0,0,"250 2 St SW, Calgary, AB T2P 0C1, Canada",Alberta,Division No. 6,0
531,Federated Cooperatives Limited,,"15th Ave, Regina, SK, Canada",2016-05-19 17:18:23,ncsmultistagecanada@pipedrivemail.com,"{""id"": 1860952, ""name"": ""API Admin (Do Not Delete)"", ""email"": ""bi@ncsmultistage.com"", ""has_pic"": 0, ""pic_hash"": null, ""active_flag"": true, ""value"": 1860952}",7791319,f,API Admin (Do Not Delete),,3,True,,,4,0,2023-12-08 09:20:42,,4,15th Avenue,Canada,2,4,11,Regina,29167.0,0,4047.0,2,,8,2020-08-10,2017-03-02,,,,26,,9,0,2,0,0,"15th Ave, Regina, SK, Canada",Saskatchewan,Division No. 6,0
532,Fire Sky Energy Inc.,,"1120  6th Street  Estevan, SK S4A 1A8 ",2016-05-19 17:18:24,ncsmultistagecanada@pipedrivemail.com,"{""id"": 1860952, ""name"": ""API Admin (Do Not Delete)"", ""email"": ""bi@ncsmultistage.com"", ""has_pic"": 0, ""pic_hash"": null, ""active_flag"": true, ""value"": 1860952}",7791319,f,API Admin (Do Not Delete),,3,True,,,2,0,2021-02-12 20:59:06,,2,6 Street,Canada,2,2,8,Estevan,15032.0,0,,0,,4,2018-12-10,,,S4A 1A8,,0,1120,8,0,0,0,0,"1120 6 St, Estevan, SK S4A 1A8, Canada",Saskatchewan,Division No. 1,0
539,Granite Oil Corp,,"2200, 520 - 3rd Ave SW  Calgary, AB T2P 0R3 ",2016-05-19 17:18:25,ncsmultistagecanada@pipedrivemail.com,"{""id"": 1860952, ""name"": ""API Admin (Do Not Delete)"", ""email"": ""bi@ncsmultistage.com"", ""has_pic"": 0, ""pic_hash"": null, ""active_flag"": true, ""value"": 1860952}",7791319,g,API Admin (Do Not Delete),,3,True,,,4,3,2023-12-08 09:20:31,,2,3 Avenue Southwest,Canada,2,8,45,Calgary,21812.0,1,,0,,18,2019-09-09,,,T2P 0R6,,51,520,45,0,0,0,0,"520 3 Ave SW, Calgary, AB T2P 0R6, Canada",Alberta,Division No. 6,0
543,Harvest Operations Corp,,"Ste 1500, 700 - 2nd Street SW  Calgary, AB T2P 2W1",2016-05-19 17:18:25,ncsmultistagecanada@pipedrivemail.com,"{""id"": 1860952, ""name"": ""API Admin (Do Not Delete)"", ""email"": ""bi@ncsmultistage.com"", ""has_pic"": 0, ""pic_hash"": null, ""active_flag"": true, ""value"": 1860952}",7791319,h,API Admin (Do Not Delete),,3,True,,,3,3,2023-11-29 18:18:30,,3,2 Street Southwest,Canada,2,6,73,Calgary,14457.0,7,,1,1500,23,2019-06-03,,,T2P 2W3,,27,700,73,0,0,0,0,"1500-700 2 Street Southwest, Calgary, AB T2P 2W3, Canada",Alberta,Division No. 6,0
547,High Ground Energy Inc.,,"600  324 - 8 Ave SW  Calgary, AB T2P 2Z2 ",2016-05-19 17:18:25,ncsmultistagecanada@pipedrivemail.com,"{""id"": 1860952, ""name"": ""API Admin (Do Not Delete)"", ""email"": ""bi@ncsmultistage.com"", ""has_pic"": 0, ""pic_hash"": null, ""active_flag"": true, ""value"": 1860952}",7791319,h,API Admin (Do Not Delete),,3,True,,,4,7,2022-08-05 22:12:53,,6,8 Avenue Southwest,Canada,3,2,44,Calgary,18417.0,5,,1,,12,2019-04-15,,,T2P 2Z2,,0,324,44,0,0,0,0,"324 8 Ave SW, Calgary, AB T2P 2Z2, Canada",Alberta,Division No. 6,0
550,Huron Resources Corp,,"2320, Bow Valley Square #3 255 5th Ave SW Calgary, AB T2P 3G6 ",2016-05-19 17:18:26,ncsmultistagecanada@pipedrivemail.com,"{""id"": 1860952, ""name"": ""API Admin (Do Not Delete)"", ""email"": ""bi@ncsmultistage.com"", ""has_pic"": 0, ""pic_hash"": null, ""active_flag"": true, ""value"": 1860952}",7791319,h,API Admin (Do Not Delete),,3,True,,,3,2,2021-02-12 21:02:43,,2,5 Avenue Southwest,Canada,2,4,24,Calgary,9348.0,1,,2,,10,2017-12-06,,,T2P 3G6,,1,255,24,0,0,0,0,"Calgary, AB T2P 3G6, Canada",Alberta,Division No. 6,0
552,ISH Energy Ltd.,23193.0,"900-700, 4th Avenue SW  Calgary, AB T2P 3J4 Canada",2016-05-19 17:18:26,ncsmultistagecanada@pipedrivemail.com,"{""id"": 1860952, ""name"": ""API Admin (Do Not Delete)"", ""email"": ""bi@ncsmultistage.com"", ""has_pic"": 0, ""pic_hash"": null, ""active_flag"": true, ""value"": 1860952}",7791319,i,API Admin (Do Not Delete),,3,True,,,0,14,2023-10-26 18:53:49,,4,4 Avenue Southwest,Canada,2,4,13,Calgary,32322.0,13,32377.0,29,,19,2021-09-27,2021-06-22,16:00:00,T2P 3J4,,132,700,12,0,1,0,0,"700 4 Ave SW, Calgary, AB T2P 3J4, Canada",Alberta,Division No. 6,0
553,InPlay Oil Corp,23193.0,"Suite 920, 640 5th Avenue SW  Calgary, AB T2P 3G4 ",2016-05-19 17:18:26,ncsmultistagecanada@pipedrivemail.com,"{""id"": 1860952, ""name"": ""API Admin (Do Not Delete)"", ""email"": ""bi@ncsmultistage.com"", ""has_pic"": 0, ""pic_hash"": null, ""active_flag"": true, ""value"": 1860952}",7791319,i,API Admin (Do Not Delete),,3,True,,,11,4,2023-11-29 18:11:45,,8,5 Avenue Southwest,Canada,2,21,63,Calgary,29627.0,6,,24,920,47,2020-07-21,,,T2P 3G4,,280,640,63,0,0,0,0,"640 5 Ave SW #920, Calgary, AB T2P 3G4, Canada",Alberta,Division No. 6,0
555,Jupiter Resources Inc.,,"1100, 585 - 8th Ave SW  Calgary, AB T2P 1G1 ",2016-05-19 17:18:26,ncsmultistagecanada@pipedrivemail.com,"{""id"": 1860952, ""name"": ""API Admin (Do Not Delete)"", ""email"": ""bi@ncsmultistage.com"", ""has_pic"": 0, ""pic_hash"": null, ""active_flag"": true, ""value"": 1860952}",7791319,j,API Admin (Do Not Delete),,3,True,,,0,2,2023-12-08 09:21:48,,7,8 Avenue Southwest,Canada,1,2,14,Calgary,30011.0,3,18565.0,0,,10,2020-08-04,2019-03-04,,T2P 1G1,,23,585,12,0,2,0,0,"585 8 Ave SW, Calgary, AB T2P 1G1, Canada",Alberta,,0
